,Name,Address,Telephone,Price,Type,Subtype,Website,longitude,latitude
0,Samaritans hope,,8778704673,Free,Mental Health,Suicide Hotlines,https://samaritanshope.org/our-services/247-crisis-services/,N/A,N/A
1,Lifenet,,8005433638,Free,Mental Health,Suicide Hotlines,https://www.ccny.cuny.edu/counseling/community-resources-0,N/A,N/A
2,Save (National Suicide Prevention Hotline),,8002738255,Free,Mental Health,Suicide Hotlines,https://suicidepreventionlifeline.org/,N/A,N/A
3,Covenant House National Nine Line,,8009999999,Free,Mental Health,Suicide Hotlines,https://www.covenanthouse.org/,N/A,N/A
4,Safe Horizons NYC Domestic Violence Hotline,,8006214673,Free,Mental Health,Domestic Violence Hotlines,https://www.ccny.cuny.edu/counseling/community-resources-0,N/A,N/A
5,NYS Domestic Violence Hotline,,8009426906,Free,Mental Health,Domestic Violence Hotlines,https://www.ccny.cuny.edu/counseling/community-resources-0,N/A,N/A
6,Sanctuary for Families,,2123496009,Free,Mental Health,Domestic Violence Hotlines,https://www.ccny.cuny.edu/counseling/community-resources-0,N/A,N/A
7,National Domestic Violence Hotline,,8007997233,Free,Mental Health,Domestic Violence Hotlines,https://www.ccny.cuny.edu/counseling/community-resources-0,N/A,N/A
8,Beth Israel Medical Group,55 E 34th St.,2122526000,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.9817633,40.747627
9,Callen-Lorde Community Health Center,356 West 18th Street (btw 8th and 9th Aves),2122717200,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-74.0031578,40.7430191
10,Charles B. Wang Community Health Center,125 Walker Street (between Centre St & Baxter St),2129412170,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.9996914,40.7169368
11,Sidney Hillman Family Practice,"16 East 16 Street, 3rd Floor,",2129247744,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-114.6201453,32.698899
12,Phillips Family Practice,"16 East 16th St., 1st floor,",2122065200,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.9918868,40.7367625
13,East 13th St. Family Practice,113 East 13th St.,2122531830,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-86.10180989999999,42.78608699999999
14,Amsterdam Health Center,"690 Amsterdam Avenue at 94th St.,",2128654104,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.97133,40.7927713
15,Mount Sinai Hospital,"17 East 102nd St (7th Floor, Walk-in Clinic Area D)",2126598551,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.9520122,40.791484
16,NYU NYC Free Clinic,16 East 16th Street (btw 5th Ave and Bdwy),2122065200,Free,Medical,Free Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.98246680000001,40.7330364
17,The Ryan Center,110 West 97th Street (btw Amsterdam and Columbus Aves),2127491820,Low,Medical,Sliding Scale Clinic,http://opencuny.org/healthdsc/what-to-do-if-youre-uninsured-free-and-low-cost-clinics-in-new-york/,-73.9675886,40.7935825
